CMOR Table 6hrLev: Fields (Sampled Every 6 Hours) for Driving Regional Models,,,,,6hrLev,6hr,,,,,,,,,,,,,,,,
"The 6-hourly data on model levels should be sampled as ""snapshots"" (not as 6-hour means) at 0Z, 6Z, 12Z, and 18Z and should be collected only for the following experiments and years:",,,,,,,,,,,,,,,,,,,,,,
,,,experiment,reporting time-period ,ensemble size,priority,,,,,,,,,,,,,,,,
,,,historical,Jan 1950 - Dec 2005,1,highest,,,,,,,,,,,,,,,,
,,,AMIP,all years,1,highest,,,,,,,,,,,,,,,,
,,,RCP4.5 and RCP8.5,Jan 2006 - Dec 2100,1 for each expt.,highest,,,,,,,,,,,,,,,,
,,,decadal hindcasts/forecasts runs inititalized in late 2005 and late 1980,late 2005 - Dec 2035 and       late 1980 - Dec 2010,3 for each period,lower,,,,,,,,,,,,,,,,
,,,decadal hindcasts/forecasts runs inititalized in late 1990,late 1990 - Dec 2000,3,lower,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Air Temperature,K,on all model levels,,ta,air_temperature,,K,,,,,,,real,longitude latitude alevel time1,ta,atmos,,area: areacella,,
1,Eastward Wind,m s-1,on all model levels,,ua,eastward_wind,,m s-1,,,,,,,real,longitude latitude alevel time1,ua,atmos,,area: areacella,,
1,Northward Wind,m s-1,on all model levels,,va,northward_wind,,m s-1,,,,,,,real,longitude latitude alevel time1,va,atmos,,area: areacella,,
1,Specific Humidity,1,on all model levels,,hus,specific_humidity,,1,,,,,,,real,longitude latitude alevel time1,hus,atmos,,area: areacella,,
1,Surface Air Pressure,Pa,"surface pressure, not mean sea level pressure",,ps,surface_air_pressure,,Pa,,,,,,,real,longitude latitude time1,ps,atmos,,area: areacella,,