CMOR Table LImon: Monthly Mean Land Cryosphere Fields,,,,,LImon,mon,,,,,,,,,,,,,,,,
"(All fields should be saved on the atmospheric grid; unless otherwise indicated, values are averaged over only the land portion of each grid cell and report 0.0 where land fraction is 0.)",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
priority,long name,units ,comment ,questions,output variable name ,standard name,unconfirmed or proposed standard name,unformatted units,cell_methods,valid min,valid max,mean absolute min,mean absolute max,positive,type,CMOR dimensions,CMOR variable name,realm,frequency,cell_measures,flag_values,flag_meanings
1,Snow Area Fraction,%,Fraction of each grid cell that is occupied by snow that rests on land portion of cell.,,snc,surface_snow_area_fraction,,%,time: mean,,,,,,real,longitude latitude time,snc,landIce land,,area: areacella,,
1,Surface Snow Amount,kg m-2,Compute as the mass of surface snow on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 where the land fraction is 0; exclude snow on vegetation canopy or on sea ice.,,snw,surface_snow_amount,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,snw,landIce land,,area: areacella,,
1,Snow Depth,m,"where land over land.  Compute the mean thickness of snow in the land portion of the grid cell (averaging over the entire land portion, including the snow-free fraction.  Report as 0.0 where the land fraction is 0.",,snd,surface_snow_thickness,,m,time: mean area: mean where land,,,,,,real,longitude latitude time,snd,landIce land,,area: areacella,,
2,Liquid Water Content of Snow Layer,kg m-2,where land over land: compute the total mass of liquid water contained interstitially within the snow layer of the land portion of a grid cell divided by the area of the land portion of the cell.,,lwsnl,liquid_water_content_of_snow_layer,,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,lwsnl,landIce land,,area: areacella,,
1,Soil Frozen Water Content,kg m-2,"summed over all soil layers, where land over land: compute by dividing the total mass of frozen water contained in the soil layer of the grid cell by the land area in the grid cell; report as 0.0 where the land fraction is 0.",,mrfso,soil_frozen_water_content,,kg m-2,time: mean,,,,,,real,longitude latitude time,mrfso,landIce land,,area: areacella,,
2,Soil Moisture Content,kg m-2,"summed over all soil layers, where land over land: compute by dividing the total mass of water (both liquid and ice) contained in the soil layer of the grid cell by the land area in the grid cell; report as 0.0 where the land fraction is 0.",,mfrso,soil_moisture_content,,kg m-2,time: mean,,,,,,real,longitude latitude time,mfrso,landIce land,,area: areacella,,
,,,,,,,,,,,,,,,,,,,,area: areacella,,
2,Snow Soot Content,kg m-2,"Consider the entire land portion of the grid cell, with snow soot content set to 0.0 in regions free of snow.",,sootsn,snow_soot_content,snow_soot_content,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,sootsn,landIce land,,area: areacella,,
1,Snow Age,day,"When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Report as ""missing in regions free of snow on land.",,agesno,,surface_snow_age,day,time: mean area: mean where land,,,,,,real,longitude latitude time,agesno,landIce land,,area: areacella,,
1,Snow Internal Temperature,K,"This temperature is averaged over all the snow in the grid cell that rests on land or land ice.  When computing the time-mean here, the time samples, the weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.   Report as ""missing in regions free of snow on land.",,tsn,snow_temperature,,K,time: mean area: mean where land,,,,,,real,longitude latitude time,tsn,landIce land,,area: areacella,,
,,,,,,,,,,,,,,,,,,,,area: areacella,,
1,Surface Snow Melt,kg m-2 s-1,Compute as the total surface melt water on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as 0.0 where the land fraction is 0.,,snm,surface_snow_melt_flux,,kg m-2 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time,snm,landIce land,,area: areacella,,
1,Surface Snow and Ice Sublimation Flux,kg m-2 s-1,The snow and ice sublimation flux is the loss of snow and ice mass resulting from their conversion to water vapor.  Compute as the total sublimation on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as 0.0 where the land fraction is 0.,,sbl,surface_snow_and_ice_sublimation_flux,,kg m-2 s-1,time: mean area: mean where land,,,,,,real,longitude latitude time,sbl,landIce land,,area: areacella,,
1,Downward Heat Flux into Snow Where Land over Land,W m-2,Compute the net downward heat flux from the atmosphere into the snow that lies on land divided by the land area in the grid cell; report as 0.0 for snow-free land regions or where the land fraction is 0.,,hfdsn,,surface_downward_heat_flux_in_snow,W m-2,time: mean area: mean where land,,,,,down,real,longitude latitude time,hfdsn,landIce land,,area: areacella,,
3,Permafrost Layer Thickness,m,where land over land. Compute the mean thickness of the permafrost layer in the land portion of the grid cell.  Report as 0.0 in permafrost-free regions.,,tpf,,permafrost_layer_thickness,m,time: mean area: mean where land,,,,,,real,longitude latitude time,tpf,landIce land,,area: areacella,,
3,Liquid Water Content of Permafrost Layer,kg m-2,"""where land over land"", i.e., this is the total mass of liquid water contained within the permafrost layer within the land portion of a grid cell divided by the area of the land portion of the cell.",Why do you want to know mass of liquid water?  Are you studying the seaasonal melting/freezing cycle?  Don't you care about how much frozen water is tied up as permafrost?,pflw,,liquid_water_content_of_permafrost_layer,kg m-2,time: mean area: mean where land,,,,,,real,longitude latitude time,pflw,landIce land,,area: areacella,,
,,,,,,,,,,,,,,,,,,,,,,