Requested output: years requested for each expt./output table combination (see CFMIP output sheet for information on time-periods for saving the special CFMIP-focused output.,,,,red font means output should be reported for only a single member in the case of an ensemble of simulations,,,,,,,,,,,,,
,,,,blue font means this is a lower priority request,,,,,,,,,,,,,
"If a cell is shaded yellow,  none of the variables will  be part of the subset of model output that will be replicated at several locations (except, as noted by * or ** -- see note at right-- this may apply only to lower priority variables)",,,,"""all*"" indicates that although all years will be included in the ""replicated"" subset, only the high and medium priority variables will be included in the replicated subset.                                                                     ""all**"" indicates that although all years will be included in the ""replicated"" subset, only the highest priority variables will be included in the replicated subset ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"""decadal"" prediction experiments",,,Oclim,Oyr,Amon,Omon,,Lmon,Limon,Oimon,aero,,day,,6hrLev,6hrPlev,3hr
Experiment, Description,Expt. #,,,,lon x lat x olev,other,,,,lon x lat,lon x  lat x alev,subset of fields saved for selected expts. ,other,,,lon x lat
10-year predictions,10-year hindcasts/predictions,1.1,,all*,all,all**,all,all,all,all,all,year 10,,all,"for expt. initialized in late 1980, years late 1980-1990; for expt. initialized in late 2005, years late 2005-2015",all,all
30-year predictions,30-year hindcasts/predictions,1.2,,all*,all,all**,all,all,all,all,all,"years 10, 20, & 30",,all,"for expt. initialized in late 1980, years 1991-2010; for expt. initialized in late 2005, years 2016-2035",all,all
10-year predictions,increased ensemble size of 1.1,1.1-E,,all*,all,all**,all,all,all,all,all,year 10,,all,,all,all
30-year predictions,increased ensemble size of 1.2,1.2-E,,all*,all,all**,all,all,all,all,all,"years 10, 20, & 30",,all,,all,all
10-year predictions,additional start dates for expts. 1.1,1.1-I,,all*,all,all**,all,all,all,all,all,year 10,,all,,all,all
AMIP,AMIP (1979-2008),3.3,,,all,,,all,all,all,all,"years 1980, 1990, 2000, & possibly 2010",all,all,all,all,all
pre-industrial control,"control run, but possibly as short as 100 years",3.1-S,,all*,all,all**,all,all,all,all,all,"years 20, 40, 60, 80, & 100",,all,,,30.0
1 percent per year CO2,1% per year CO2 rise imposed,6.1-S,,all*,all,all**,all,all,all,all,,,,all,,,30.0
volcano-free hindcasts,hindcasts but without volcanoes,1.3,,all*,all,all**,all,all,all,all,all,"year 2010, 2011, and 2012",,all,,all,all
prediction with 2010 volcano,Pinatubo-like eruption imposed,1.4,,all*,all,all**,all,all,all,all,all,year 10,,all,,all,all
initialization alternatives,experiments to explore impact of different initialization procedures,1.5,,all*,all,all**,all,all,all,all,all,year 10,,all,,all,all
chemistry-focused runs,near-term runs with enhanced chemistry/aerosol models,1.6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"experiments focusing on the ""longer-term""",,,Oclim,Oyr,Amon,Omon,,Lmon,Limon,Oimon,aero,,day,,6hrLev,6hrPlev,3hr
Experiment, Description,Expt. #,,,,lon x lat x olev,other,,,,lon x lat,lon x  lat x alev,subset of fields saved for selected expts. ,other,,,
pre-industrial control,coupled atmosphere/ocean control run,3.1,,all*,all,all**,all,all,all,all,all,"years corresponding to years 1850, 1870, 1890, . . . , 1950, 1960, 1970, . . . , 2000 of the historical run and years 2010, 2020, 2040, 2060, 2080, & 2100 of the RCP run",20 years corresponding to years 1986-2005 of historical run,all,,30.0,30.0
historical,simulation of recent past (1850-2005),3.2,1986-2005 monthly climatology,all*,all,all**,all,all,all,all,all,"years 1850, 1870, 1890, . . . , 1950, 1960, 1970, . . . , 2000",1950-2005,all,1950-2005,1950-2005,1960-2005
AMIP,AMIP (1979-2008),3.3,,,all,,,all,all,all,all,"1980, 1990, 2000, & possibly 2010",all,all,all,all,all
historical,increase ensemble size of expt. 3.2,3.2-E,,all*,all,all**,all,all,all,all,all,"years 1850, 1870, 1890,  . . .  , 1950, 1960, 1970,  . . . , 2000",,all,,1950-2005,1960-2005
AMIP,increase ensemble size of expt. 3.3,3.3-E,,,all,,,all,all,all,all,"1980, 1990, 2000, & possibly 2010",,all,,all,all
mid-Holocene,"consistent with PMIP, impose Mid-Holocene conditions",3.4,,all*,all,all**,all,all,all,all,all,,,all,,last 30 years,
last glacial maximum,"consistent with PMIP, impose last glacial maximum conditions",3.5,,all*,all,all**,all,all,all,all,all,,,all,,last 30 years,
last millennium,"consistent with PMIP, impose forcing for 850-1850",3.6,,all*,all,all**,all,all,all,all,all,,,all,,,
RCP4.5,future projection (2006-2100) forced by RCP4.5,4.1,,all*,all,all**,all,all,all,all,all,"2010, 2020, 2040, 2060, 2080, & 2100",all,all,all,all,"2026-2045, 2081-2100"
RCP8.5,future projection  (2006-2100) forced by RCP8.5,4.2,,all*,all,all**,all,all,all,all,all,"2010, 2020, 2040, 2060, 2080, & 2100",all,all,all,all,"2026-2045, 2081-2100"
RCP2.6,future projection (2006-2100) forced by RCP2.6,4.3,,all*,all,all**,all,all,all,all,all,"2010, 2020, 2040, 2060, 2080, & 2100",all,all,,,"2026-2045, 2081-2100"
RCP6,future projection (2006-2100) forced by RCP6,4.4,,all*,all,all**,all,all,all,all,all,"2010, 2020, 2040, 2060, 2080, & 2100",all,all,,,"2026-2045, 2081-2100"
RCP4.5,extension of expt. 4.1 through 2300,4.1-L,,all*,all,all**,all,all,all,all,all,"2010, 2020, 2040, 2060, 2080, & 2100","2181-2200, 2281-2300",all,,,"2181-2200, 2281-2300"
RCP8.5,extension of expt. 4.2 through 2300,4.2-L,,all*,all,all**,all,all,all,all,all,"2010, 2020, 2040, 2060, 2080, & 2100","2181-2200, 2281-2300",all,,,"2181-2200, 2281-2300"
RCP2.6,extension of expt. 4.3 through 2300,4.3-L,,all*,all,all**,all,all,all,all,all,"2010, 2020, 2040, 2060, 2080, & 2100","2181-2200, 2281-2300",all,,,"2181-2200, 2281-2300"
ESM pre-industrial control,"as in expt. 3.1, but atmospheric CO2 determined by model",5.1,,all*,all,all**,all,all,all,all,all,"years corresponding to years 1850, 1870, 1890,  . . .  , 1950, 1960, 1970,  . . . , 2000 of the historical run and years 2010, 2020, 2040, 2060, 2080, & 2100 of the RCP run",20 years corresponding to years 1986-2005 of historical run,all,,,
Emission-driven historical,"as in expt. 3.2, but with atmospheric CO2 determined by model",5.2,,all*,all,all**,all,all,all,all,all,"years 1850, 1870, 1890,  . . .  , 1950, 1960, 1970,  . . . , 2000",1950-2005,all,,,1960-2005
emission-driven RCP8.5,"as in expt. 4.2, but with atmospheric CO2 determined by model",5.3,,all*,all,all**,all,all,all,all,all,"2010, 2020, 2040, 2060, 2080, & 2100",all,all,,,"2026-2045, 2081-2100"
ESM fixed climate 1,"radiation code ""sees"" control CO2, but carbon cycle sees 1%/yr rise",5.4-1,,all*,all,all**,all,all,all,all,all,,,all,,,
ESM fixed climate 2,"radiation code ""sees"" control CO2, but carbon cycle sees historical followed by RCP4.5 rise in CO2",5.4-2,,all*,all,all**,all,all,all,all,all,,,all,,,
ESM feedback 1,"carbon cycle ""sees"" control CO2, but radiatation sees 1%/yr rise",5.5-1,,all*,all,all**,all,all,all,all,all,,,all,,,
ESM feedback 2,"carbon cycle ""sees"" control CO2, but radiatation sees historical followed by RCP4.5 rise in CO2",5.5-2,,all*,all,all**,all,all,all,all,all,,,all,,,
1 percent per year CO2,imposed 1%/yr increase in CO2 to quadrupling,6.1,,all*,all,all**,all,all,all,all,,,,all,,,30.0
control SST climatology,An atmosphere-only run driven by prescribed climatological SST and sea ice.,6.2a,,,all,,,all,all,all,all,,,all,,,all
CO2 forcing,"as in expt. 6.2a, but with 4XCO2 imposed",6.2b,,,all,,,all,all,all,,,,all,,,all
abrupt 4XCO2,"impose an instantaneous quadrupling of CO2, then hold fixed",6.3,,,all,all**,all,all,all,all,,,,all,,,first 5 and last 30
abrupt 4XCO2,"generate an ensemble of runs like expt. 6.3, initialized in different months, and terminated after 5 years",6.3-E,,,all,all**,all,all,all,all,,,,all,,,all
anthropogenic aerosol forcing,"as in expt. 6.2a, but with anthropogenic aerosols from year 2000 of expt. 3.2",6.4a,,,all,,,all,all,all,all,,,all,,,all
sulfate aerosol forcing,"as in expt. 6.2a, but with sulfate aerosols from year 2000 of expt. 3.2",6.4b,,,all,,,all,all,all,all,,,all,,,all
Cloud response to imposed 4xCO2,"consistent with CFMIP, impose AMIP (1979-2008) conditions (expt. 3.3) but with 4xCO2",6.5,,,all,,,all,all,all,,,,all,,,
Cloud response to an imposed change in SST pattern,"consistent with CFMIP, add a patterned SST perturbation to AMIP SSTs of expt. 3.3.",6.6,,,all,,,all,all,all,,,,all,,,
aqua planet: control run,"consistent with CFMIP, impose zonally uniform SSTs on a planet without continents",6.7a,,,all,,,all,all,all,,,,all,,,
aqua planet: cloud response to imposed 4xCO2,"Consistent with CFMIP requirements, impose 4xCO2 on the zonally uniform SSTs of expt. 6.7a ",6.7b,,,all,,,all,all,all,,,,all,,,
Aqua-planet: cloud response to an imposed uniform change in SST.,"Consistent with CFMIP requirements, add a uniform +4K to the zonally uniform SSTs of expt. 6.7a (which is the control for this run).",6.7c,,,all,,,all,all,all,,,,all,,,
Cloud response to an imposed uniform change in SST,"Consistent with CFMIP requirements, add a uniform +4 K SST to the AMIP SSTs of expt. 3.3 (which is the ""control"" for this run).",6.8,,,all,,,all,all,all,,,,all,,,
natural-only,historical simulation but with natural forcing only,7.1,,all*,all,all**,all,all,all,all,all,,,all,,,
GHG-only,historical simulation but with greenhouse gas forcing only,7.2,,all*,all,all**,all,all,all,all,,,,all,,,
other-only,historical simulation but with other individual forcing agents,7.3,,all*,all,all**,all,all,all,all,all,,,all,,,
natural-only,increase ensemble size of expt. 7.1,7.1-E,,all*,all,all**,all,all,all,all,all,,,all,,,
GHG-only,increase ensemble size of expt. 7.2,7.2-E,,all*,all,all**,all,all,all,all,,,,all,,,
other-only,increase ensemble size of expt. 7.3,7.3-E,,all*,all,all**,all,all,all,all,all,,,all,,,
,,,,,,,,,,,,,,,,,
atmosphere-only experiments,,,Oclim,Oyr,Amon,Omon,,Lmon,Limon,Oimon,aero,,day,,6hrLev,6hrPlev,3hr
Experiment, Description,Expt. #,,,,lon x lat x olev,other,,,,lon x lat,lon x  lat x alev,subset of fields saved for selected expts. ,other,,,
AMIP,AMIP (1979-2008),3.3,,,all,,,all,all,all,all,"years 1980, 1990, 2000, & possibly 2010",all,all,all,all,all
2030 time-slice,conditions for 2026-2035 imposed,2.1,,,all,,,all,all,all,all,,,all,,,
AMIP,increase ensemble size of expt. 3.3,3.3-E,,,all,,,all,all,all,all,"years 1980, 1990, 2000, & possibly 2010",,all,,,
2030 time-slice,increase ensemble size of expt. 2.1,2.1-E,,,all,,,all,all,all,all,,,all,,,
Cloud response to imposed 4xCO2,"consistent with CFMIP, impose AMIP (1979-2008) conditions (expt. 3.3) but with 4xCO2",6.5,,,all,,,all,all,all,,,,all,,,
Cloud response to an imposed change in SST pattern,"consistent with CFMIP, add a patterned SST perturbation to AMIP SSTs of expt. 3.3.",6.6,,,all,,,all,all,all,,,,all,,,
aqua planet: control run,"consistent with CFMIP, impose zonally uniform SSTs on a planet without continents",6.7a,,,all,,,all,all,all,,,,all,,,
aqua planet: cloud response to imposed 4xCO2,"Consistent with CFMIP requirements, impose 4xCO2 on the zonally uniform SSTs of expt. 6.7a ",6.7b,,,all,,,all,all,all,,,,all,,,
Aqua-planet: cloud response to an imposed uniform change in SST.,"Consistent with CFMIP requirements, add a uniform +4K to the zonally uniform SSTs of expt. 6.7a (which is the control for this run).",6.7c,,,all,,,all,all,all,,,,all,,,
Cloud response to an imposed uniform change in SST,"Consistent with CFMIP requirements, add a uniform +4 K SST to the AMIP SSTs of expt. 3.3 (which is the ""control"" for this run).",6.8,,,all,,,all,all,all,,,,all,,,


